"","country","X2","X3","X4","Units","year2018","year2019","X8"
"319","CONGO, DEMOCRATIC REPUBLIC OF THE",NA,"Travel",NA,"US$ Millions","115","96",NA
"320","CONGO, DEMOCRATIC REPUBLIC OF THE",NA,"Passenger transport",NA,"US$ Millions","..","..",NA
"321","COOK ISLANDS","Departures",NA,NA,NA,NA,NA,"1/ The expenditure figures are those provided by the country to UNWTO, which do not appear in the International Monetary Fund data."
"322","COOK ISLANDS",NA,"Total departures",NA,"Thousands","..","..",NA
"323","COOK ISLANDS",NA,NA,"Overnights visitors (tourists)","Thousands","14","14",NA
"324","COOK ISLANDS",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"325","COOK ISLANDS","Tourism expenditure in other countries",NA,NA,"US$ Millions","23","..","1/ The expenditure figures are those provided by the country to UNWTO, which do not appear in the International Monetary Fund data."
"326","COOK ISLANDS",NA,"Travel",NA,"US$ Millions","..","..",NA
"327","COOK ISLANDS",NA,"Passenger transport",NA,"US$ Millions","..","..",NA
"328","COSTA RICA","Departures",NA,NA,NA,NA,NA,NA
"329","COSTA RICA",NA,"Total departures",NA,"Thousands","..","..",NA
"330","COSTA RICA",NA,NA,"Overnights visitors (tourists)","Thousands","1079","1153",NA
"331","COSTA RICA",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"332","COSTA RICA","Tourism expenditure in other countries",NA,NA,"US$ Millions","1282","1393",NA
"333","COSTA RICA",NA,"Travel",NA,"US$ Millions","982","1088",NA
"334","COSTA RICA",NA,"Passenger transport",NA,"US$ Millions","300","305",NA
"335","COTE D´IVOIRE","Departures",NA,NA,NA,NA,NA,NA
"336","COTE D´IVOIRE",NA,"Total departures",NA,"Thousands","..","..",NA
"337","COTE D´IVOIRE",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"338","COTE D´IVOIRE",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"339","COTE D´IVOIRE","Tourism expenditure in other countries",NA,NA,"US$ Millions","625","..",NA
"340","COTE D´IVOIRE",NA,"Travel",NA,"US$ Millions","416","..",NA
"341","COTE D´IVOIRE",NA,"Passenger transport",NA,"US$ Millions","209","..",NA
"342","CROATIA","Departures",NA,NA,NA,NA,NA,"1/ Source: CBS, Survey on Tourist Activity of Population of Republic of Croatia.
2/  The expenditure figures are those provided by the country to UNWTO, as this data series is more complete than that provided by the International Monetary Fund (IMF)."
"343","CROATIA",NA,"Total departures",NA,"Thousands","2980","3500",NA
"344","CROATIA",NA,NA,"Overnights visitors (tourists)","Thousands","2058","2255",NA
"345","CROATIA",NA,NA,"Same-day visitors (excursionists)","Thousands","922","1245",NA
"346","CROATIA","Tourism expenditure in other countries",NA,NA,"US$ Millions","1737","1809",NA
"347","CROATIA",NA,"Travel",NA,"US$ Millions","1693","1764",NA
"348","CROATIA",NA,"Passenger transport",NA,"US$ Millions","44","45",NA
"349","CUBA","Departures",NA,NA,NA,NA,NA,"1/ Including only tours authorized by the ""Instituto de Turismo""."
"350","CUBA",NA,"Total departures",NA,"Thousands","..","..",NA
"351","CUBA",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"352","CUBA",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"353","CUBA","Tourism expenditure in other countries",NA,NA,"US$ Millions","..","..",NA
"354","CUBA",NA,"Travel",NA,"US$ Millions","..","..",NA
"355","CUBA",NA,"Passenger transport",NA,"US$ Millions","..","..",NA
"356","CURAÇAO","Departures",NA,NA,NA,NA,NA,"1/ 1995-2006 source: Central Bank of the Netherlands Antilles."
"357","CURAÇAO",NA,"Total departures",NA,"Thousands","..","..",NA
"358","CURAÇAO",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"359","CURAÇAO",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"360","CURAÇAO","Tourism expenditure in other countries",NA,NA,"US$ Millions","509","411","1/ 1995-2006 source: Central Bank of the Netherlands Antilles."
"361","CURAÇAO",NA,"Travel",NA,"US$ Millions","441","341",NA
"362","CURAÇAO",NA,"Passenger transport",NA,"US$ Millions","68","70",NA
"363","CYPRUS","Departures",NA,NA,NA,NA,NA,"1/ Source: Passenger Survey, conducted by the Statistical Service of Cyprus."
"364","CYPRUS",NA,"Total departures",NA,"Thousands","1446","..",NA
"365","CYPRUS",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"366","CYPRUS",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"367","CYPRUS","Tourism expenditure in other countries",NA,NA,"US$ Millions","1551","1496",NA
"368","CYPRUS",NA,"Travel",NA,"US$ Millions","1551","1496",NA
"369","CYPRUS",NA,"Passenger transport",NA,"US$ Millions","..","..",NA
"370","CZECH REPUBLIC","Departures",NA,NA,NA,NA,NA,"1/ Source: Domestic and Outbound Tourism Survey and TSA. Long trips + short trips."
"371","CZECH REPUBLIC",NA,"Total departures",NA,"Thousands","..","..",NA
"372","CZECH REPUBLIC",NA,NA,"Overnights visitors (tourists)","Thousands","7390","7346",NA
"373","CZECH REPUBLIC",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"374","CZECH REPUBLIC","Tourism expenditure in other countries",NA,NA,"US$ Millions","6074","6036",NA
"375","CZECH REPUBLIC",NA,"Travel",NA,"US$ Millions","5972","5889",NA
"376","CZECH REPUBLIC",NA,"Passenger transport",NA,"US$ Millions","102","147",NA
"377","DENMARK","Departures",NA,NA,NA,NA,NA,"1/ 2017: break in the series. New questionnaire from August 2017. the data are not comparable with those of previous years.
1/ Source from 2005: VisitDenmark."
"378","DENMARK",NA,"Total departures",NA,"Thousands","..","..",NA
"379","DENMARK",NA,NA,"Overnights visitors (tourists)","Thousands","7475","10818",NA
"380","DENMARK",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"381","DENMARK","Tourism expenditure in other countries",NA,NA,"US$ Millions","..","..",NA
"382","DENMARK",NA,"Travel",NA,"US$ Millions","10485","10355",NA
"383","DENMARK",NA,"Passenger transport",NA,"US$ Millions","..","..",NA
"384","DJIBOUTI","Departures",NA,NA,NA,NA,NA,NA
"385","DJIBOUTI",NA,"Total departures",NA,"Thousands","..","..",NA
"386","DJIBOUTI",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"387","DJIBOUTI",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"388","DJIBOUTI","Tourism expenditure in other countries",NA,NA,"US$ Millions","..","..",NA
"389","DJIBOUTI",NA,"Travel",NA,"US$ Millions","22.3","..",NA
"390","DJIBOUTI",NA,"Passenger transport",NA,"US$ Millions","..","..",NA
"391","DOMINICA","Departures",NA,NA,NA,NA,NA,NA
"392","DOMINICA",NA,"Total departures",NA,"Thousands","..","..",NA
"393","DOMINICA",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"394","DOMINICA",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"395","DOMINICA","Tourism expenditure in other countries",NA,NA,"US$ Millions","30","..",NA
"396","DOMINICA",NA,"Travel",NA,"US$ Millions","20","..",NA
"397","DOMINICA",NA,"Passenger transport",NA,"US$ Millions","10","..",NA
"398","DOMINICAN REPUBLIC","Departures",NA,NA,NA,NA,NA,NA
"399","DOMINICAN REPUBLIC",NA,"Total departures",NA,"Thousands","..","..",NA
"400","DOMINICAN REPUBLIC",NA,NA,"Overnights visitors (tourists)","Thousands","514","532",NA
"401","DOMINICAN REPUBLIC",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"402","DOMINICAN REPUBLIC","Tourism expenditure in other countries",NA,NA,"US$ Millions","957","1083",NA
"403","DOMINICAN REPUBLIC",NA,"Travel",NA,"US$ Millions","549","620",NA
"404","DOMINICAN REPUBLIC",NA,"Passenger transport",NA,"US$ Millions","408","463",NA
"405","ECUADOR","Departures",NA,NA,NA,NA,NA,NA
"406","ECUADOR",NA,"Total departures",NA,"Thousands","..","..",NA
"407","ECUADOR",NA,NA,"Overnights visitors (tourists)","Thousands","1402","..",NA
"408","ECUADOR",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"409","ECUADOR","Tourism expenditure in other countries",NA,NA,"US$ Millions","1523","1650",NA
"410","ECUADOR",NA,"Travel",NA,"US$ Millions","1134","1216",NA
"411","ECUADOR",NA,"Passenger transport",NA,"US$ Millions","389","434",NA
"412","EGYPT","Departures",NA,NA,NA,NA,NA,NA
"413","EGYPT",NA,"Total departures",NA,"Thousands","..","..",NA
"414","EGYPT",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"415","EGYPT",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"416","EGYPT","Tourism expenditure in other countries",NA,NA,"US$ Millions","2897","3718",NA
"417","EGYPT",NA,"Travel",NA,"US$ Millions","2667","3518",NA
"418","EGYPT",NA,"Passenger transport",NA,"US$ Millions","230","200",NA
"419","EL SALVADOR","Departures",NA,NA,NA,NA,NA,NA
"420","EL SALVADOR",NA,"Total departures",NA,"Thousands","1788","1899",NA
"421","EL SALVADOR",NA,NA,"Overnights visitors (tourists)","Thousands","1260","1331",NA
"422","EL SALVADOR",NA,NA,"Same-day visitors (excursionists)","Thousands","528","568",NA
"423","EL SALVADOR","Tourism expenditure in other countries",NA,NA,"US$ Millions","490","537",NA
"424","EL SALVADOR",NA,"Travel",NA,"US$ Millions","443","504",NA
"425","EL SALVADOR",NA,"Passenger transport",NA,"US$ Millions","47","33",NA
"426","EQUATORIAL GUINEA","Departures",NA,NA,NA,NA,NA,"1/ Source: ""Banque des États de l'Afrique Centrale (B.E.A.C.)""."
"427","EQUATORIAL GUINEA",NA,"Total departures",NA,"Thousands","..","..",NA
"428","EQUATORIAL GUINEA",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"429","EQUATORIAL GUINEA",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"430","EQUATORIAL GUINEA","Tourism expenditure in other countries",NA,NA,"US$ Millions","..","..","1/ Source: ""Banque des États de l'Afrique Centrale (B.E.A.C.)""."
"431","EQUATORIAL GUINEA",NA,"Travel",NA,"US$ Millions","..","..",NA
"432","EQUATORIAL GUINEA",NA,"Passenger transport",NA,"US$ Millions","..","..",NA
"433","ERITREA","Departures",NA,NA,NA,NA,NA,NA
"434","ERITREA",NA,"Total departures",NA,"Thousands","..","..",NA
"435","ERITREA",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"436","ERITREA",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"437","ERITREA","Tourism expenditure in other countries",NA,NA,"US$ Millions","..","..",NA
"438","ERITREA",NA,"Travel",NA,"US$ Millions","..","..",NA
"439","ERITREA",NA,"Passenger transport",NA,"US$ Millions","..","..",NA
"440","ESTONIA","Departures",NA,NA,NA,NA,NA,"1/ Source: household survey by ""Statistics Estonia""."
"441","ESTONIA",NA,"Total departures",NA,"Thousands","..","..",NA
"442","ESTONIA",NA,NA,"Overnights visitors (tourists)","Thousands","2069","..",NA
"443","ESTONIA",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"444","ESTONIA","Tourism expenditure in other countries",NA,NA,"US$ Millions","1651","1815",NA
"445","ESTONIA",NA,"Travel",NA,"US$ Millions","1468","1550",NA
"446","ESTONIA",NA,"Passenger transport",NA,"US$ Millions","183","265",NA
"447","ESWATINI","Departures",NA,NA,NA,NA,NA,NA
"448","ESWATINI",NA,"Total departures",NA,"Thousands","..","..",NA
"449","ESWATINI",NA,NA,"Overnights visitors (tourists)","Thousands","1717","1721",NA
"450","ESWATINI",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"451","ESWATINI","Tourism expenditure in other countries",NA,NA,"US$ Millions","43","33",NA
"452","ESWATINI",NA,"Travel",NA,"US$ Millions","41","32",NA
"453","ESWATINI",NA,"Passenger transport",NA,"US$ Millions","2","1",NA
"454","ETHIOPIA","Departures",NA,NA,NA,NA,NA,NA
"455","ETHIOPIA",NA,"Total departures",NA,"Thousands","..","..",NA
"456","ETHIOPIA",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"457","ETHIOPIA",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"458","ETHIOPIA","Tourism expenditure in other countries",NA,NA,"US$ Millions","612.70000000000005","..",NA
"459","ETHIOPIA",NA,"Travel",NA,"US$ Millions","612","..",NA
"460","ETHIOPIA",NA,"Passenger transport",NA,"US$ Millions","0.7","..",NA
"461","FIJI","Departures",NA,NA,NA,NA,NA,NA
"462","FIJI",NA,"Total departures",NA,"Thousands","..","..",NA
"463","FIJI",NA,NA,"Overnights visitors (tourists)","Thousands","174","174",NA
"464","FIJI",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"465","FIJI","Tourism expenditure in other countries",NA,NA,"US$ Millions","160","174",NA
"466","FIJI",NA,"Travel",NA,"US$ Millions","149","165",NA
"467","FIJI",NA,"Passenger transport",NA,"US$ Millions","11","9",NA
"468","FINLAND","Departures",NA,NA,NA,NA,NA,"1/ Finnish Travel survey.
2/ Overnight trips abroad, including cruises abroad with overnight on board only."
"469","FINLAND",NA,"Total departures",NA,"Thousands","10480","10440",NA
"470","FINLAND",NA,NA,"Overnights visitors (tourists)","Thousands","9450","9410",NA
"471","FINLAND",NA,NA,"Same-day visitors (excursionists)","Thousands","1030","1030",NA
"472","FINLAND","Tourism expenditure in other countries",NA,NA,"US$ Millions","7244","6861",NA
"473","FINLAND",NA,"Travel",NA,"US$ Millions","6072","5678",NA
"474","FINLAND",NA,"Passenger transport",NA,"US$ Millions","1172","1183",NA
"475","FRANCE","Departures",NA,NA,NA,NA,NA,"1/ Source: DGE. Survey Follow-up of tourism demand (SDT). Resident population aged 15 years and above; trips in Overseas Departments are counted together with those abroad.
2/ 1999-2004 source: ""Banque de France""."
"476","FRANCE",NA,"Total departures",NA,"Thousands","44474","..",NA
"477","FRANCE",NA,NA,"Overnights visitors (tourists)","Thousands","26914","..",NA
"478","FRANCE",NA,NA,"Same-day visitors (excursionists)","Thousands","17560","..",NA
"479","FRANCE","Tourism expenditure in other countries",NA,NA,"US$ Millions","58458","60726",NA
"480","FRANCE",NA,"Travel",NA,"US$ Millions","48790","51627",NA
"481","FRANCE",NA,"Passenger transport",NA,"US$ Millions","9668","9099",NA
"482","FRENCH GUIANA","Departures",NA,NA,NA,NA,NA,NA
"483","FRENCH GUIANA",NA,"Total departures",NA,"Thousands","..","..",NA
"484","FRENCH GUIANA",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"485","FRENCH GUIANA",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"486","FRENCH GUIANA","Tourism expenditure in other countries",NA,NA,"US$ Millions","..","..",NA
"487","FRENCH GUIANA",NA,"Travel",NA,"US$ Millions","..","..",NA
"488","FRENCH GUIANA",NA,"Passenger transport",NA,"US$ Millions","..","..",NA
"489","FRENCH POLYNESIA","Departures",NA,NA,NA,NA,NA,NA
"490","FRENCH POLYNESIA",NA,"Total departures",NA,"Thousands","..","..",NA
"491","FRENCH POLYNESIA",NA,NA,"Overnights visitors (tourists)","Thousands","47","63",NA
"492","FRENCH POLYNESIA",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"493","FRENCH POLYNESIA","Tourism expenditure in other countries",NA,NA,"US$ Millions","..","..",NA
"494","FRENCH POLYNESIA",NA,"Travel",NA,"US$ Millions","177","..",NA
"495","FRENCH POLYNESIA",NA,"Passenger transport",NA,"US$ Millions","..","..",NA
"496","GABON","Departures",NA,NA,NA,NA,NA,NA
"497","GABON",NA,"Total departures",NA,"Thousands","..","..",NA
"498","GABON",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"499","GABON",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"500","GABON","Tourism expenditure in other countries",NA,NA,"US$ Millions","..","..",NA
"501","GABON",NA,"Travel",NA,"US$ Millions","..","..",NA
"502","GABON",NA,"Passenger transport",NA,"US$ Millions","..","..",NA
"503","GAMBIA","Departures",NA,NA,NA,NA,NA,NA
"504","GAMBIA",NA,"Total departures",NA,"Thousands","..","..",NA
"505","GAMBIA",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"506","GAMBIA",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"507","GAMBIA","Tourism expenditure in other countries",NA,NA,"US$ Millions","10.4","..",NA
"508","GAMBIA",NA,"Travel",NA,"US$ Millions","9","..",NA
"509","GAMBIA",NA,"Passenger transport",NA,"US$ Millions","1.4","..",NA
"510","GEORGIA","Departures",NA,NA,NA,NA,NA,NA
"511","GEORGIA",NA,"Total departures",NA,"Thousands","..","..",NA
"512","GEORGIA",NA,NA,"Overnights visitors (tourists)","Thousands","3698","3780",NA
"513","GEORGIA",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"514","GEORGIA","Tourism expenditure in other countries",NA,NA,"US$ Millions","960","1124",NA
"515","GEORGIA",NA,"Travel",NA,"US$ Millions","525","657",NA
"516","GEORGIA",NA,"Passenger transport",NA,"US$ Millions","435","467",NA
"517","GERMANY","Departures",NA,NA,NA,NA,NA,"1/ Source: Eurostat."
"518","GERMANY",NA,"Total departures",NA,"Thousands","..","..",NA
"519","GERMANY",NA,NA,"Overnights visitors (tourists)","Thousands","108542","..",NA
"520","GERMANY",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"521","GERMANY","Tourism expenditure in other countries",NA,NA,"US$ Millions","103502","99865",NA
"522","GERMANY",NA,"Travel",NA,"US$ Millions","95199","91731",NA
"523","GERMANY",NA,"Passenger transport",NA,"US$ Millions","8303","8134",NA
"524","GHANA","Departures",NA,NA,NA,NA,NA,NA
"525","GHANA",NA,"Total departures",NA,"Thousands","..","..",NA
"526","GHANA",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"527","GHANA",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"528","GHANA","Tourism expenditure in other countries",NA,NA,"US$ Millions","1329","..",NA
"529","GHANA",NA,"Travel",NA,"US$ Millions","450","..",NA
"530","GHANA",NA,"Passenger transport",NA,"US$ Millions","879","..",NA
"531","GREECE","Departures",NA,NA,NA,NA,NA,"1/ The information is based on the border survey conducted by the Bank of Greece."
"532","GREECE",NA,"Total departures",NA,"Thousands","..","..",NA
"533","GREECE",NA,NA,"Overnights visitors (tourists)","Thousands","7961","7848",NA
"534","GREECE",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"535","GREECE","Tourism expenditure in other countries",NA,NA,"US$ Millions","3910","4211",NA
"536","GREECE",NA,"Travel",NA,"US$ Millions","2582","3070",NA
"537","GREECE",NA,"Passenger transport",NA,"US$ Millions","1328","1141",NA
"538","GRENADA","Departures",NA,NA,NA,NA,NA,NA
"539","GRENADA",NA,"Total departures",NA,"Thousands","..","..",NA
"540","GRENADA",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"541","GRENADA",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"542","GRENADA","Tourism expenditure in other countries",NA,NA,"US$ Millions","41","..",NA
"543","GRENADA",NA,"Travel",NA,"US$ Millions","24","..",NA
"544","GRENADA",NA,"Passenger transport",NA,"US$ Millions","17","..",NA
"545","GUADELOUPE","Departures",NA,NA,NA,NA,NA,NA
"546","GUADELOUPE",NA,"Total departures",NA,"Thousands","..","..",NA
"547","GUADELOUPE",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"548","GUADELOUPE",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"549","GUADELOUPE","Tourism expenditure in other countries",NA,NA,"US$ Millions","..","..",NA
"550","GUADELOUPE",NA,"Travel",NA,"US$ Millions","..","..",NA
"551","GUADELOUPE",NA,"Passenger transport",NA,"US$ Millions","..","..",NA
"552","GUAM","Departures",NA,NA,NA,NA,NA,NA
"553","GUAM",NA,"Total departures",NA,"Thousands","..","..",NA
"554","GUAM",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"555","GUAM",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"556","GUAM","Tourism expenditure in other countries",NA,NA,"US$ Millions","..","..",NA
"557","GUAM",NA,"Travel",NA,"US$ Millions","..","..",NA
"558","GUAM",NA,"Passenger transport",NA,"US$ Millions","..","..",NA
"559","GUATEMALA","Departures",NA,NA,NA,NA,NA,NA
"560","GUATEMALA",NA,"Total departures",NA,"Thousands","1536","1703",NA
"561","GUATEMALA",NA,NA,"Overnights visitors (tourists)","Thousands","1227","1298.5999999999999",NA
"562","GUATEMALA",NA,NA,"Same-day visitors (excursionists)","Thousands","309","404.8",NA
"563","GUATEMALA","Tourism expenditure in other countries",NA,NA,"US$ Millions","1105","1128",NA
"564","GUATEMALA",NA,"Travel",NA,"US$ Millions","807","814",NA
"565","GUATEMALA",NA,"Passenger transport",NA,"US$ Millions","298","314",NA
"566","GUINEA","Departures",NA,NA,NA,NA,NA,NA
"567","GUINEA",NA,"Total departures",NA,"Thousands","..","..",NA
"568","GUINEA",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"569","GUINEA",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"570","GUINEA","Tourism expenditure in other countries",NA,NA,"US$ Millions","411.7","419.5",NA
"571","GUINEA",NA,"Travel",NA,"US$ Millions","9.1999999999999993","2.9",NA
"572","GUINEA",NA,"Passenger transport",NA,"US$ Millions","402.5","416.6",NA
"573","GUINEA-BISSAU","Departures",NA,NA,NA,NA,NA,NA
"574","GUINEA-BISSAU",NA,"Total departures",NA,"Thousands","..","..",NA
"575","GUINEA-BISSAU",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"576","GUINEA-BISSAU",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"577","GUINEA-BISSAU","Tourism expenditure in other countries",NA,NA,"US$ Millions","74.599999999999994","..",NA
"578","GUINEA-BISSAU",NA,"Travel",NA,"US$ Millions","74.5","..",NA
"579","GUINEA-BISSAU",NA,"Passenger transport",NA,"US$ Millions","0.1","..",NA
"580","GUYANA","Departures",NA,NA,NA,NA,NA,NA
"581","GUYANA",NA,"Total departures",NA,"Thousands","..","..",NA
"582","GUYANA",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"583","GUYANA",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"584","GUYANA","Tourism expenditure in other countries",NA,NA,"US$ Millions","..","..",NA
"585","GUYANA",NA,"Travel",NA,"US$ Millions","80","..",NA
"586","GUYANA",NA,"Passenger transport",NA,"US$ Millions","..","..",NA
"587","HAITI","Departures",NA,NA,NA,NA,NA,NA
"588","HAITI",NA,"Total departures",NA,"Thousands","..","..",NA
"589","HAITI",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"590","HAITI",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"591","HAITI","Tourism expenditure in other countries",NA,NA,"US$ Millions","599","..",NA
"592","HAITI",NA,"Travel",NA,"US$ Millions","103","..",NA
"593","HAITI",NA,"Passenger transport",NA,"US$ Millions","496","..",NA
"594","HONDURAS","Departures",NA,NA,NA,NA,NA,NA
"595","HONDURAS",NA,"Total departures",NA,"Thousands","..","..",NA
"596","HONDURAS",NA,NA,"Overnights visitors (tourists)","Thousands","809","..",NA
"597","HONDURAS",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"598","HONDURAS","Tourism expenditure in other countries",NA,NA,"US$ Millions","558","655",NA
"599","HONDURAS",NA,"Travel",NA,"US$ Millions","408","499",NA
"600","HONDURAS",NA,"Passenger transport",NA,"US$ Millions","150","156",NA
"601","HONG KONG, CHINA","Departures",NA,NA,NA,NA,NA,"1/ Source: Census and Statistics Department."
"602","HONG KONG, CHINA",NA,"Total departures",NA,"Thousands","92214","94715",NA
"603","HONG KONG, CHINA",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"604","HONG KONG, CHINA",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"605","HONG KONG, CHINA","Tourism expenditure in other countries",NA,NA,"US$ Millions","..","..","1/ Source: Census and Statistics Department."
"606","HONG KONG, CHINA",NA,"Travel",NA,"US$ Millions","26438","26880",NA
"607","HONG KONG, CHINA",NA,"Passenger transport",NA,"US$ Millions","..","..",NA
"608","HUNGARY","Departures",NA,NA,NA,NA,NA,NA
"609","HUNGARY",NA,"Total departures",NA,"Thousands","22805","24860",NA
"610","HUNGARY",NA,NA,"Overnights visitors (tourists)","Thousands","8649","9373",NA
"611","HUNGARY",NA,NA,"Same-day visitors (excursionists)","Thousands","14156","15486",NA
"612","HUNGARY","Tourism expenditure in other countries",NA,NA,"US$ Millions","3239","3391",NA
"613","HUNGARY",NA,"Travel",NA,"US$ Millions","2639","2741",NA
"614","HUNGARY",NA,"Passenger transport",NA,"US$ Millions","600","650",NA
"615","ICELAND","Departures",NA,NA,NA,NA,NA,NA
"616","ICELAND",NA,"Total departures",NA,"Thousands","..","..",NA
"617","ICELAND",NA,NA,"Overnights visitors (tourists)","Thousands","668","..",NA
"618","ICELAND",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"619","ICELAND","Tourism expenditure in other countries",NA,NA,"US$ Millions","..","..",NA
"620","ICELAND",NA,"Travel",NA,"US$ Millions","1829","1618",NA
"621","ICELAND",NA,"Passenger transport",NA,"US$ Millions","..","..",NA
"622","INDIA","Departures",NA,NA,NA,NA,NA,"1/ Departures of nationals only, irrespective of purpose."
"623","INDIA",NA,"Total departures",NA,"Thousands","..","..",NA
"624","INDIA",NA,NA,"Overnights visitors (tourists)","Thousands","26296","..",NA
"625","INDIA",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"626","INDIA","Tourism expenditure in other countries",NA,NA,"US$ Millions","25790","28595",NA
"627","INDIA",NA,"Travel",NA,"US$ Millions","21319","22915",NA
"628","INDIA",NA,"Passenger transport",NA,"US$ Millions","4471","5680",NA
"629","INDONESIA","Departures",NA,NA,NA,NA,NA,NA
"630","INDONESIA",NA,"Total departures",NA,"Thousands","..","..",NA
"631","INDONESIA",NA,NA,"Overnights visitors (tourists)","Thousands","9468","11688",NA
"632","INDONESIA",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"633","INDONESIA","Tourism expenditure in other countries",NA,NA,"US$ Millions","13171","14462",NA
"634","INDONESIA",NA,"Travel",NA,"US$ Millions","10314","11321",NA
"635","INDONESIA",NA,"Passenger transport",NA,"US$ Millions","2857","3141",NA
"636","IRAN, ISLAMIC REPUBLIC OF","Departures",NA,NA,NA,NA,NA,"1/ From 2000 Source: Central Bank of Islamic Republic of Iran."
"637","IRAN, ISLAMIC REPUBLIC OF",NA,"Total departures",NA,"Thousands","7243","..",NA
"638","IRAN, ISLAMIC REPUBLIC OF",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"639","IRAN, ISLAMIC REPUBLIC OF",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"640","IRAN, ISLAMIC REPUBLIC OF","Tourism expenditure in other countries",NA,NA,"US$ Millions","..","..","1/ From 2000 Source: Central Bank of Islamic Republic of Iran."
"641","IRAN, ISLAMIC REPUBLIC OF",NA,"Travel",NA,"US$ Millions","..","..",NA
"642","IRAN, ISLAMIC REPUBLIC OF",NA,"Passenger transport",NA,"US$ Millions","..","..",NA
"643","IRAQ","Departures",NA,NA,NA,NA,NA,"1/ 1995-2002 Source: Central Bank of Iraq."
"644","IRAQ",NA,"Total departures",NA,"Thousands","..","..",NA
"645","IRAQ",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"646","IRAQ",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
